loc,length,bug type,approach
149,8,Re-entrancy,code snippet injection
138,8,Re-entrancy,code snippet injection
126,9,Re-entrancy,code snippet injection
1169,8,Re-entrancy,code snippet injection
1142,8,Re-entrancy,code snippet injection
1117,6,Re-entrancy,code snippet injection
1092,8,Re-entrancy,code snippet injection
1059,7,Re-entrancy,code snippet injection
1041,9,Re-entrancy,code snippet injection
1021,10,Re-entrancy,code snippet injection
993,8,Re-entrancy,code snippet injection
929,9,Re-entrancy,code snippet injection
911,7,Re-entrancy,code snippet injection
888,5,Re-entrancy,code snippet injection
531,8,Re-entrancy,code snippet injection
505,9,Re-entrancy,code snippet injection
485,7,Re-entrancy,code snippet injection
466,8,Re-entrancy,code snippet injection
447,5,Re-entrancy,code snippet injection
338,8,Re-entrancy,code snippet injection
312,8,Re-entrancy,code snippet injection
287,10,Re-entrancy,code snippet injection
263,7,Re-entrancy,code snippet injection
241,8,Re-entrancy,code snippet injection
217,8,Re-entrancy,code snippet injection
199,5,Re-entrancy,code snippet injection
170,8,Re-entrancy,code snippet injection
975,10,Re-entrancy,code snippet injection
964,8,Re-entrancy,code snippet injection
875,8,Re-entrancy,code snippet injection
863,8,Re-entrancy,code snippet injection
854,8,Re-entrancy,code snippet injection
414,8,Re-entrancy,code snippet injection
400,8,Re-entrancy,code snippet injection
390,9,Re-entrancy,code snippet injection
381,8,Re-entrancy,code snippet injection
374,6,Re-entrancy,code snippet injection
365,6,Re-entrancy,code snippet injection
355,8,Re-entrancy,code snippet injection
115,8,Re-entrancy,code snippet injection
106,8,Re-entrancy,code snippet injection
95,8,Re-entrancy,code snippet injection
