loc,length,bug type,approach
229,8,Re-entrancy,code snippet injection
220,8,Re-entrancy,code snippet injection
168,9,Re-entrancy,code snippet injection
159,8,Re-entrancy,code snippet injection
50,8,Re-entrancy,code snippet injection
1524,6,Re-entrancy,code snippet injection
1512,8,Re-entrancy,code snippet injection
1498,7,Re-entrancy,code snippet injection
1482,9,Re-entrancy,code snippet injection
1464,10,Re-entrancy,code snippet injection
1447,8,Re-entrancy,code snippet injection
1425,9,Re-entrancy,code snippet injection
1399,7,Re-entrancy,code snippet injection
1365,5,Re-entrancy,code snippet injection
1349,8,Re-entrancy,code snippet injection
1331,9,Re-entrancy,code snippet injection
1315,7,Re-entrancy,code snippet injection
1302,8,Re-entrancy,code snippet injection
1293,5,Re-entrancy,code snippet injection
1281,8,Re-entrancy,code snippet injection
1170,8,Re-entrancy,code snippet injection
1136,10,Re-entrancy,code snippet injection
1108,7,Re-entrancy,code snippet injection
1072,8,Re-entrancy,code snippet injection
1031,8,Re-entrancy,code snippet injection
989,5,Re-entrancy,code snippet injection
973,8,Re-entrancy,code snippet injection
951,10,Re-entrancy,code snippet injection
924,8,Re-entrancy,code snippet injection
887,8,Re-entrancy,code snippet injection
845,8,Re-entrancy,code snippet injection
815,8,Re-entrancy,code snippet injection
790,8,Re-entrancy,code snippet injection
770,8,Re-entrancy,code snippet injection
743,9,Re-entrancy,code snippet injection
722,8,Re-entrancy,code snippet injection
690,6,Re-entrancy,code snippet injection
671,6,Re-entrancy,code snippet injection
640,8,Re-entrancy,code snippet injection
613,8,Re-entrancy,code snippet injection
279,8,Re-entrancy,code snippet injection
266,8,Re-entrancy,code snippet injection
