loc,length,bug type,approach
164,8,Re-entrancy,code snippet injection
112,8,Re-entrancy,code snippet injection
102,9,Re-entrancy,code snippet injection
455,8,Re-entrancy,code snippet injection
439,8,Re-entrancy,code snippet injection
425,6,Re-entrancy,code snippet injection
404,8,Re-entrancy,code snippet injection
388,7,Re-entrancy,code snippet injection
361,9,Re-entrancy,code snippet injection
336,10,Re-entrancy,code snippet injection
315,8,Re-entrancy,code snippet injection
298,9,Re-entrancy,code snippet injection
283,7,Re-entrancy,code snippet injection
209,5,Re-entrancy,code snippet injection
195,8,Re-entrancy,code snippet injection
177,9,Re-entrancy,code snippet injection
131,7,Re-entrancy,code snippet injection
93,8,Re-entrancy,code snippet injection
87,5,Re-entrancy,code snippet injection
78,8,Re-entrancy,code snippet injection
69,8,Re-entrancy,code snippet injection
58,10,Re-entrancy,code snippet injection
50,7,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
250,8,Re-entrancy,code snippet injection
244,5,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
224,10,Re-entrancy,code snippet injection
154,8,Re-entrancy,code snippet injection
145,8,Re-entrancy,code snippet injection
