loc,length,bug type,approach
393,8,Re-entrancy,code snippet injection
380,8,Re-entrancy,code snippet injection
366,9,Re-entrancy,code snippet injection
309,8,Re-entrancy,code snippet injection
298,8,Re-entrancy,code snippet injection
289,6,Re-entrancy,code snippet injection
278,8,Re-entrancy,code snippet injection
238,7,Re-entrancy,code snippet injection
223,9,Re-entrancy,code snippet injection
207,10,Re-entrancy,code snippet injection
193,8,Re-entrancy,code snippet injection
179,9,Re-entrancy,code snippet injection
166,7,Re-entrancy,code snippet injection
154,5,Re-entrancy,code snippet injection
142,8,Re-entrancy,code snippet injection
129,9,Re-entrancy,code snippet injection
117,7,Re-entrancy,code snippet injection
105,8,Re-entrancy,code snippet injection
97,5,Re-entrancy,code snippet injection
85,8,Re-entrancy,code snippet injection
74,8,Re-entrancy,code snippet injection
28,10,Re-entrancy,code snippet injection
18,7,Re-entrancy,code snippet injection
353,8,Re-entrancy,code snippet injection
263,8,Re-entrancy,code snippet injection
257,5,Re-entrancy,code snippet injection
248,8,Re-entrancy,code snippet injection
60,10,Re-entrancy,code snippet injection
51,8,Re-entrancy,code snippet injection
42,8,Re-entrancy,code snippet injection
