loc,length,bug type,approach
446,8,Re-entrancy,code snippet injection
437,8,Re-entrancy,code snippet injection
427,9,Re-entrancy,code snippet injection
418,8,Re-entrancy,code snippet injection
641,8,Re-entrancy,code snippet injection
629,6,Re-entrancy,code snippet injection
607,8,Re-entrancy,code snippet injection
594,7,Re-entrancy,code snippet injection
566,9,Re-entrancy,code snippet injection
537,10,Re-entrancy,code snippet injection
521,8,Re-entrancy,code snippet injection
494,9,Re-entrancy,code snippet injection
474,7,Re-entrancy,code snippet injection
291,5,Re-entrancy,code snippet injection
408,8,Re-entrancy,code snippet injection
398,9,Re-entrancy,code snippet injection
390,7,Re-entrancy,code snippet injection
381,8,Re-entrancy,code snippet injection
375,5,Re-entrancy,code snippet injection
366,8,Re-entrancy,code snippet injection
357,8,Re-entrancy,code snippet injection
346,10,Re-entrancy,code snippet injection
338,7,Re-entrancy,code snippet injection
329,8,Re-entrancy,code snippet injection
320,8,Re-entrancy,code snippet injection
313,5,Re-entrancy,code snippet injection
304,8,Re-entrancy,code snippet injection
