loc,length,bug type,approach
820,8,Re-entrancy,code snippet injection
811,8,Re-entrancy,code snippet injection
715,9,Re-entrancy,code snippet injection
706,8,Re-entrancy,code snippet injection
613,8,Re-entrancy,code snippet injection
606,6,Re-entrancy,code snippet injection
510,8,Re-entrancy,code snippet injection
502,7,Re-entrancy,code snippet injection
335,9,Re-entrancy,code snippet injection
324,10,Re-entrancy,code snippet injection
990,8,Re-entrancy,code snippet injection
970,9,Re-entrancy,code snippet injection
959,7,Re-entrancy,code snippet injection
950,5,Re-entrancy,code snippet injection
938,8,Re-entrancy,code snippet injection
925,9,Re-entrancy,code snippet injection
906,7,Re-entrancy,code snippet injection
893,8,Re-entrancy,code snippet injection
883,5,Re-entrancy,code snippet injection
871,8,Re-entrancy,code snippet injection
859,8,Re-entrancy,code snippet injection
845,10,Re-entrancy,code snippet injection
797,7,Re-entrancy,code snippet injection
784,8,Re-entrancy,code snippet injection
771,8,Re-entrancy,code snippet injection
762,5,Re-entrancy,code snippet injection
750,8,Re-entrancy,code snippet injection
731,10,Re-entrancy,code snippet injection
691,8,Re-entrancy,code snippet injection
675,8,Re-entrancy,code snippet injection
643,8,Re-entrancy,code snippet injection
628,8,Re-entrancy,code snippet injection
589,8,Re-entrancy,code snippet injection
576,8,Re-entrancy,code snippet injection
562,9,Re-entrancy,code snippet injection
550,8,Re-entrancy,code snippet injection
540,6,Re-entrancy,code snippet injection
525,6,Re-entrancy,code snippet injection
487,8,Re-entrancy,code snippet injection
472,8,Re-entrancy,code snippet injection
457,8,Re-entrancy,code snippet injection
442,8,Re-entrancy,code snippet injection
