loc,length,bug type,approach
1582,13,TOD,code snippet injection
499,13,TOD,code snippet injection
485,13,TOD,code snippet injection
466,18,TOD,code snippet injection
452,13,TOD,code snippet injection
438,13,TOD,code snippet injection
419,18,TOD,code snippet injection
405,13,TOD,code snippet injection
386,18,TOD,code snippet injection
372,13,TOD,code snippet injection
353,18,TOD,code snippet injection
339,13,TOD,code snippet injection
325,13,TOD,code snippet injection
1637,18,TOD,code snippet injection
1620,13,TOD,code snippet injection
1543,18,TOD,code snippet injection
1525,13,TOD,code snippet injection
1507,13,TOD,code snippet injection
1481,18,TOD,code snippet injection
1459,18,TOD,code snippet injection
1435,18,TOD,code snippet injection
1413,18,TOD,code snippet injection
1396,13,TOD,code snippet injection
1374,18,TOD,code snippet injection
1350,13,TOD,code snippet injection
1333,13,TOD,code snippet injection
1309,18,TOD,code snippet injection
1274,18,TOD,code snippet injection
1243,18,TOD,code snippet injection
1214,18,TOD,code snippet injection
1194,13,TOD,code snippet injection
1168,13,TOD,code snippet injection
1151,13,TOD,code snippet injection
1123,18,TOD,code snippet injection
1074,18,TOD,code snippet injection
1052,18,TOD,code snippet injection
1029,18,TOD,code snippet injection
1007,13,TOD,code snippet injection
969,18,TOD,code snippet injection
925,13,TOD,code snippet injection
