loc,length,bug type,approach
65,13,TOD,code snippet injection
646,13,TOD,code snippet injection
628,13,TOD,code snippet injection
605,18,TOD,code snippet injection
587,13,TOD,code snippet injection
569,13,TOD,code snippet injection
546,18,TOD,code snippet injection
523,13,TOD,code snippet injection
500,18,TOD,code snippet injection
482,13,TOD,code snippet injection
459,18,TOD,code snippet injection
441,13,TOD,code snippet injection
423,13,TOD,code snippet injection
395,18,TOD,code snippet injection
377,13,TOD,code snippet injection
354,18,TOD,code snippet injection
336,13,TOD,code snippet injection
318,13,TOD,code snippet injection
295,18,TOD,code snippet injection
138,18,TOD,code snippet injection
110,18,TOD,code snippet injection
83,18,TOD,code snippet injection
249,13,TOD,code snippet injection
230,18,TOD,code snippet injection
216,13,TOD,code snippet injection
202,13,TOD,code snippet injection
183,18,TOD,code snippet injection
164,18,TOD,code snippet injection
45,18,TOD,code snippet injection
26,18,TOD,code snippet injection
