loc,length,bug type,approach
594,13,TOD,code snippet injection
575,13,TOD,code snippet injection
554,13,TOD,code snippet injection
532,18,TOD,code snippet injection
513,13,TOD,code snippet injection
493,13,TOD,code snippet injection
468,18,TOD,code snippet injection
434,13,TOD,code snippet injection
409,18,TOD,code snippet injection
390,13,TOD,code snippet injection
353,18,TOD,code snippet injection
336,13,TOD,code snippet injection
319,13,TOD,code snippet injection
297,18,TOD,code snippet injection
161,13,TOD,code snippet injection
139,18,TOD,code snippet injection
122,13,TOD,code snippet injection
105,13,TOD,code snippet injection
271,18,TOD,code snippet injection
252,18,TOD,code snippet injection
233,18,TOD,code snippet injection
214,18,TOD,code snippet injection
200,13,TOD,code snippet injection
181,18,TOD,code snippet injection
83,13,TOD,code snippet injection
69,13,TOD,code snippet injection
50,18,TOD,code snippet injection
