loc,length,bug type,approach
157,13,TOD,code snippet injection
89,13,TOD,code snippet injection
570,13,TOD,code snippet injection
478,18,TOD,code snippet injection
444,13,TOD,code snippet injection
415,13,TOD,code snippet injection
387,18,TOD,code snippet injection
358,13,TOD,code snippet injection
290,18,TOD,code snippet injection
268,13,TOD,code snippet injection
234,18,TOD,code snippet injection
157,13,TOD,code snippet injection
143,13,TOD,code snippet injection
124,18,TOD,code snippet injection
89,13,TOD,code snippet injection
70,18,TOD,code snippet injection
56,13,TOD,code snippet injection
545,13,TOD,code snippet injection
526,18,TOD,code snippet injection
507,18,TOD,code snippet injection
320,18,TOD,code snippet injection
208,18,TOD,code snippet injection
193,13,TOD,code snippet injection
