loc,length,bug type,approach
2144,13,TOD,code snippet injection
2130,13,TOD,code snippet injection
2116,13,TOD,code snippet injection
2001,18,TOD,code snippet injection
1987,13,TOD,code snippet injection
1973,13,TOD,code snippet injection
1954,18,TOD,code snippet injection
1277,13,TOD,code snippet injection
1254,18,TOD,code snippet injection
1236,13,TOD,code snippet injection
1165,18,TOD,code snippet injection
965,13,TOD,code snippet injection
951,13,TOD,code snippet injection
932,18,TOD,code snippet injection
811,13,TOD,code snippet injection
665,18,TOD,code snippet injection
650,13,TOD,code snippet injection
347,13,TOD,code snippet injection
274,18,TOD,code snippet injection
214,18,TOD,code snippet injection
195,18,TOD,code snippet injection
127,18,TOD,code snippet injection
110,13,TOD,code snippet injection
2670,18,TOD,code snippet injection
2650,13,TOD,code snippet injection
2628,13,TOD,code snippet injection
2599,18,TOD,code snippet injection
2577,18,TOD,code snippet injection
2555,18,TOD,code snippet injection
2533,18,TOD,code snippet injection
2498,13,TOD,code snippet injection
2475,13,TOD,code snippet injection
2451,13,TOD,code snippet injection
2428,18,TOD,code snippet injection
2397,18,TOD,code snippet injection
2362,18,TOD,code snippet injection
2340,18,TOD,code snippet injection
2321,13,TOD,code snippet injection
2299,18,TOD,code snippet injection
2276,13,TOD,code snippet injection
