loc,length,bug type,approach
817,13,TOD,code snippet injection
803,13,TOD,code snippet injection
603,13,TOD,code snippet injection
581,18,TOD,code snippet injection
506,13,TOD,code snippet injection
143,13,TOD,code snippet injection
43,18,TOD,code snippet injection
1043,13,TOD,code snippet injection
1021,18,TOD,code snippet injection
1004,13,TOD,code snippet injection
982,18,TOD,code snippet injection
965,13,TOD,code snippet injection
948,13,TOD,code snippet injection
878,18,TOD,code snippet injection
857,13,TOD,code snippet injection
777,18,TOD,code snippet injection
755,13,TOD,code snippet injection
717,13,TOD,code snippet injection
689,18,TOD,code snippet injection
663,18,TOD,code snippet injection
626,18,TOD,code snippet injection
552,18,TOD,code snippet injection
528,13,TOD,code snippet injection
479,18,TOD,code snippet injection
446,13,TOD,code snippet injection
418,13,TOD,code snippet injection
390,18,TOD,code snippet injection
357,18,TOD,code snippet injection
299,18,TOD,code snippet injection
272,18,TOD,code snippet injection
238,13,TOD,code snippet injection
206,13,TOD,code snippet injection
126,13,TOD,code snippet injection
107,18,TOD,code snippet injection
88,18,TOD,code snippet injection
43,18,TOD,code snippet injection
24,18,TOD,code snippet injection
10,13,TOD,code snippet injection
919,18,TOD,code snippet injection
905,13,TOD,code snippet injection
