loc,length,bug type,approach
861,13,TOD,code snippet injection
813,13,TOD,code snippet injection
731,13,TOD,code snippet injection
626,18,TOD,code snippet injection
120,13,TOD,code snippet injection
885,13,TOD,code snippet injection
842,18,TOD,code snippet injection
799,13,TOD,code snippet injection
712,18,TOD,code snippet injection
661,13,TOD,code snippet injection
604,18,TOD,code snippet injection
583,13,TOD,code snippet injection
562,13,TOD,code snippet injection
536,18,TOD,code snippet injection
516,13,TOD,code snippet injection
494,18,TOD,code snippet injection
474,13,TOD,code snippet injection
448,13,TOD,code snippet injection
279,18,TOD,code snippet injection
252,18,TOD,code snippet injection
226,18,TOD,code snippet injection
196,18,TOD,code snippet injection
168,13,TOD,code snippet injection
143,18,TOD,code snippet injection
75,13,TOD,code snippet injection
57,13,TOD,code snippet injection
34,18,TOD,code snippet injection
415,18,TOD,code snippet injection
395,18,TOD,code snippet injection
374,18,TOD,code snippet injection
358,13,TOD,code snippet injection
343,13,TOD,code snippet injection
329,13,TOD,code snippet injection
100,18,TOD,code snippet injection
