loc,length,bug type,approach
1069,13,TOD,code snippet injection
808,13,TOD,code snippet injection
794,13,TOD,code snippet injection
595,18,TOD,code snippet injection
581,13,TOD,code snippet injection
419,13,TOD,code snippet injection
400,18,TOD,code snippet injection
267,13,TOD,code snippet injection
248,18,TOD,code snippet injection
8,13,TOD,code snippet injection
1192,18,TOD,code snippet injection
1174,13,TOD,code snippet injection
1132,13,TOD,code snippet injection
1092,18,TOD,code snippet injection
920,13,TOD,code snippet injection
870,18,TOD,code snippet injection
851,13,TOD,code snippet injection
715,13,TOD,code snippet injection
648,18,TOD,code snippet injection
533,18,TOD,code snippet injection
483,18,TOD,code snippet injection
459,18,TOD,code snippet injection
365,13,TOD,code snippet injection
315,18,TOD,code snippet injection
167,13,TOD,code snippet injection
144,13,TOD,code snippet injection
118,18,TOD,code snippet injection
89,18,TOD,code snippet injection
56,18,TOD,code snippet injection
31,18,TOD,code snippet injection
1054,13,TOD,code snippet injection
1040,13,TOD,code snippet injection
1026,13,TOD,code snippet injection
1007,18,TOD,code snippet injection
988,18,TOD,code snippet injection
969,18,TOD,code snippet injection
950,18,TOD,code snippet injection
773,13,TOD,code snippet injection
753,18,TOD,code snippet injection
738,13,TOD,code snippet injection
