loc,length,bug type,approach
1179,13,TOD,code snippet injection
1163,13,TOD,code snippet injection
1147,13,TOD,code snippet injection
1126,18,TOD,code snippet injection
496,13,TOD,code snippet injection
482,13,TOD,code snippet injection
463,18,TOD,code snippet injection
231,13,TOD,code snippet injection
212,18,TOD,code snippet injection
198,13,TOD,code snippet injection
179,18,TOD,code snippet injection
23,13,TOD,code snippet injection
1687,13,TOD,code snippet injection
1638,18,TOD,code snippet injection
1591,13,TOD,code snippet injection
1555,18,TOD,code snippet injection
1519,13,TOD,code snippet injection
1493,13,TOD,code snippet injection
1463,18,TOD,code snippet injection
1261,18,TOD,code snippet injection
1208,18,TOD,code snippet injection
1010,18,TOD,code snippet injection
970,13,TOD,code snippet injection
926,18,TOD,code snippet injection
881,13,TOD,code snippet injection
841,13,TOD,code snippet injection
812,18,TOD,code snippet injection
774,18,TOD,code snippet injection
736,18,TOD,code snippet injection
710,18,TOD,code snippet injection
689,13,TOD,code snippet injection
661,13,TOD,code snippet injection
625,13,TOD,code snippet injection
584,18,TOD,code snippet injection
545,18,TOD,code snippet injection
435,18,TOD,code snippet injection
389,18,TOD,code snippet injection
365,13,TOD,code snippet injection
321,18,TOD,code snippet injection
291,13,TOD,code snippet injection
