loc,length,bug type,approach
257,13,TOD,code snippet injection
243,13,TOD,code snippet injection
620,13,TOD,code snippet injection
596,18,TOD,code snippet injection
571,13,TOD,code snippet injection
543,13,TOD,code snippet injection
518,18,TOD,code snippet injection
500,13,TOD,code snippet injection
477,18,TOD,code snippet injection
459,13,TOD,code snippet injection
224,18,TOD,code snippet injection
207,13,TOD,code snippet injection
192,13,TOD,code snippet injection
172,18,TOD,code snippet injection
157,13,TOD,code snippet injection
137,18,TOD,code snippet injection
122,13,TOD,code snippet injection
107,13,TOD,code snippet injection
80,18,TOD,code snippet injection
42,18,TOD,code snippet injection
42,18,TOD,code snippet injection
22,18,TOD,code snippet injection
434,13,TOD,code snippet injection
415,18,TOD,code snippet injection
400,13,TOD,code snippet injection
385,13,TOD,code snippet injection
366,18,TOD,code snippet injection
347,18,TOD,code snippet injection
328,18,TOD,code snippet injection
309,18,TOD,code snippet injection
295,13,TOD,code snippet injection
281,13,TOD,code snippet injection
