loc,length,bug type,approach
1539,13,TOD,code snippet injection
302,13,TOD,code snippet injection
288,13,TOD,code snippet injection
269,18,TOD,code snippet injection
255,13,TOD,code snippet injection
241,13,TOD,code snippet injection
222,18,TOD,code snippet injection
208,13,TOD,code snippet injection
189,18,TOD,code snippet injection
175,13,TOD,code snippet injection
156,18,TOD,code snippet injection
142,13,TOD,code snippet injection
128,13,TOD,code snippet injection
109,18,TOD,code snippet injection
1586,13,TOD,code snippet injection
1516,18,TOD,code snippet injection
1492,13,TOD,code snippet injection
1473,13,TOD,code snippet injection
1450,18,TOD,code snippet injection
1413,18,TOD,code snippet injection
1388,18,TOD,code snippet injection
1366,18,TOD,code snippet injection
1349,13,TOD,code snippet injection
1327,18,TOD,code snippet injection
1310,13,TOD,code snippet injection
1289,13,TOD,code snippet injection
1266,18,TOD,code snippet injection
1243,18,TOD,code snippet injection
1220,18,TOD,code snippet injection
1168,18,TOD,code snippet injection
1150,13,TOD,code snippet injection
1133,13,TOD,code snippet injection
1116,13,TOD,code snippet injection
1094,18,TOD,code snippet injection
1072,18,TOD,code snippet injection
1047,18,TOD,code snippet injection
1018,18,TOD,code snippet injection
1001,13,TOD,code snippet injection
976,18,TOD,code snippet injection
945,13,TOD,code snippet injection
