loc,length,bug type,approach
634,13,TOD,code snippet injection
615,13,TOD,code snippet injection
592,13,TOD,code snippet injection
570,18,TOD,code snippet injection
410,13,TOD,code snippet injection
163,13,TOD,code snippet injection
144,18,TOD,code snippet injection
119,13,TOD,code snippet injection
96,18,TOD,code snippet injection
77,13,TOD,code snippet injection
53,18,TOD,code snippet injection
39,13,TOD,code snippet injection
25,13,TOD,code snippet injection
541,18,TOD,code snippet injection
514,13,TOD,code snippet injection
495,18,TOD,code snippet injection
481,13,TOD,code snippet injection
467,13,TOD,code snippet injection
448,18,TOD,code snippet injection
429,18,TOD,code snippet injection
289,18,TOD,code snippet injection
270,18,TOD,code snippet injection
238,13,TOD,code snippet injection
218,18,TOD,code snippet injection
203,13,TOD,code snippet injection
181,13,TOD,code snippet injection
