loc,length,bug type,approach
1312,13,TOD,code snippet injection
1294,13,TOD,code snippet injection
1273,13,TOD,code snippet injection
1252,18,TOD,code snippet injection
1236,13,TOD,code snippet injection
1220,13,TOD,code snippet injection
1199,18,TOD,code snippet injection
1183,13,TOD,code snippet injection
1161,18,TOD,code snippet injection
1126,13,TOD,code snippet injection
1057,18,TOD,code snippet injection
1032,13,TOD,code snippet injection
1010,13,TOD,code snippet injection
964,18,TOD,code snippet injection
948,13,TOD,code snippet injection
927,18,TOD,code snippet injection
911,13,TOD,code snippet injection
891,13,TOD,code snippet injection
870,18,TOD,code snippet injection
844,18,TOD,code snippet injection
823,18,TOD,code snippet injection
802,18,TOD,code snippet injection
784,13,TOD,code snippet injection
762,18,TOD,code snippet injection
742,13,TOD,code snippet injection
726,13,TOD,code snippet injection
704,18,TOD,code snippet injection
668,18,TOD,code snippet injection
632,18,TOD,code snippet injection
585,18,TOD,code snippet injection
544,13,TOD,code snippet injection
509,13,TOD,code snippet injection
449,13,TOD,code snippet injection
430,18,TOD,code snippet injection
213,18,TOD,code snippet injection
187,18,TOD,code snippet injection
166,18,TOD,code snippet injection
150,13,TOD,code snippet injection
129,18,TOD,code snippet injection
104,13,TOD,code snippet injection
