loc,length,bug type,approach
672,13,TOD,code snippet injection
564,13,TOD,code snippet injection
547,13,TOD,code snippet injection
525,18,TOD,code snippet injection
508,13,TOD,code snippet injection
434,13,TOD,code snippet injection
403,18,TOD,code snippet injection
382,13,TOD,code snippet injection
356,18,TOD,code snippet injection
334,13,TOD,code snippet injection
311,18,TOD,code snippet injection
293,13,TOD,code snippet injection
274,13,TOD,code snippet injection
251,18,TOD,code snippet injection
233,13,TOD,code snippet injection
210,18,TOD,code snippet injection
191,13,TOD,code snippet injection
168,13,TOD,code snippet injection
146,18,TOD,code snippet injection
52,18,TOD,code snippet injection
29,18,TOD,code snippet injection
483,18,TOD,code snippet injection
469,13,TOD,code snippet injection
450,18,TOD,code snippet injection
128,13,TOD,code snippet injection
113,13,TOD,code snippet injection
93,18,TOD,code snippet injection
74,18,TOD,code snippet injection
