loc,length,bug type,approach
228,13,TOD,code snippet injection
1723,13,TOD,code snippet injection
1661,13,TOD,code snippet injection
1633,18,TOD,code snippet injection
1610,13,TOD,code snippet injection
1581,13,TOD,code snippet injection
1559,18,TOD,code snippet injection
1536,13,TOD,code snippet injection
1507,18,TOD,code snippet injection
1483,13,TOD,code snippet injection
1456,18,TOD,code snippet injection
1430,13,TOD,code snippet injection
1403,13,TOD,code snippet injection
1373,18,TOD,code snippet injection
1349,13,TOD,code snippet injection
1320,18,TOD,code snippet injection
1296,13,TOD,code snippet injection
1270,13,TOD,code snippet injection
1234,18,TOD,code snippet injection
1206,18,TOD,code snippet injection
1174,18,TOD,code snippet injection
1146,18,TOD,code snippet injection
1122,13,TOD,code snippet injection
1092,18,TOD,code snippet injection
1066,13,TOD,code snippet injection
1043,13,TOD,code snippet injection
1015,18,TOD,code snippet injection
987,18,TOD,code snippet injection
959,18,TOD,code snippet injection
925,18,TOD,code snippet injection
896,13,TOD,code snippet injection
862,13,TOD,code snippet injection
836,13,TOD,code snippet injection
805,18,TOD,code snippet injection
774,18,TOD,code snippet injection
737,18,TOD,code snippet injection
700,18,TOD,code snippet injection
668,13,TOD,code snippet injection
632,18,TOD,code snippet injection
605,13,TOD,code snippet injection
