loc,length,bug type,approach
1494,13,TOD,code snippet injection
1476,13,TOD,code snippet injection
1458,13,TOD,code snippet injection
1427,18,TOD,code snippet injection
1404,13,TOD,code snippet injection
1368,13,TOD,code snippet injection
1328,18,TOD,code snippet injection
1282,13,TOD,code snippet injection
1254,18,TOD,code snippet injection
1209,13,TOD,code snippet injection
1176,18,TOD,code snippet injection
1158,13,TOD,code snippet injection
1135,13,TOD,code snippet injection
1106,18,TOD,code snippet injection
1086,13,TOD,code snippet injection
1063,18,TOD,code snippet injection
1045,13,TOD,code snippet injection
1027,13,TOD,code snippet injection
1005,18,TOD,code snippet injection
977,18,TOD,code snippet injection
945,18,TOD,code snippet injection
923,18,TOD,code snippet injection
901,13,TOD,code snippet injection
879,18,TOD,code snippet injection
855,13,TOD,code snippet injection
827,13,TOD,code snippet injection
808,18,TOD,code snippet injection
789,18,TOD,code snippet injection
769,18,TOD,code snippet injection
750,18,TOD,code snippet injection
736,13,TOD,code snippet injection
722,13,TOD,code snippet injection
708,13,TOD,code snippet injection
689,18,TOD,code snippet injection
670,18,TOD,code snippet injection
651,18,TOD,code snippet injection
632,18,TOD,code snippet injection
617,13,TOD,code snippet injection
598,18,TOD,code snippet injection
584,13,TOD,code snippet injection
