loc,length,bug type,approach
605,13,TOD,code snippet injection
591,13,TOD,code snippet injection
1025,13,TOD,code snippet injection
984,18,TOD,code snippet injection
967,13,TOD,code snippet injection
750,13,TOD,code snippet injection
727,18,TOD,code snippet injection
709,13,TOD,code snippet injection
687,18,TOD,code snippet injection
670,13,TOD,code snippet injection
643,18,TOD,code snippet injection
525,13,TOD,code snippet injection
499,13,TOD,code snippet injection
467,18,TOD,code snippet injection
440,13,TOD,code snippet injection
407,18,TOD,code snippet injection
380,13,TOD,code snippet injection
352,13,TOD,code snippet injection
319,18,TOD,code snippet injection
287,18,TOD,code snippet injection
255,18,TOD,code snippet injection
227,18,TOD,code snippet injection
204,13,TOD,code snippet injection
177,18,TOD,code snippet injection
949,13,TOD,code snippet injection
934,13,TOD,code snippet injection
915,18,TOD,code snippet injection
896,18,TOD,code snippet injection
877,18,TOD,code snippet injection
858,18,TOD,code snippet injection
843,13,TOD,code snippet injection
829,13,TOD,code snippet injection
813,13,TOD,code snippet injection
794,18,TOD,code snippet injection
775,18,TOD,code snippet injection
620,18,TOD,code snippet injection
151,18,TOD,code snippet injection
136,13,TOD,code snippet injection
116,18,TOD,code snippet injection
