loc,length,bug type,approach
565,13,TOD,code snippet injection
355,13,TOD,code snippet injection
341,13,TOD,code snippet injection
129,18,TOD,code snippet injection
115,13,TOD,code snippet injection
637,13,TOD,code snippet injection
586,18,TOD,code snippet injection
432,13,TOD,code snippet injection
393,18,TOD,code snippet injection
373,13,TOD,code snippet injection
295,18,TOD,code snippet injection
271,13,TOD,code snippet injection
242,13,TOD,code snippet injection
214,18,TOD,code snippet injection
182,13,TOD,code snippet injection
157,18,TOD,code snippet injection
550,13,TOD,code snippet injection
535,13,TOD,code snippet injection
515,18,TOD,code snippet injection
496,18,TOD,code snippet injection
321,18,TOD,code snippet injection
95,18,TOD,code snippet injection
81,13,TOD,code snippet injection
