loc,length,bug type,approach
1083,13,TOD,code snippet injection
1069,13,TOD,code snippet injection
1055,13,TOD,code snippet injection
1036,18,TOD,code snippet injection
1022,13,TOD,code snippet injection
1484,13,TOD,code snippet injection
1459,18,TOD,code snippet injection
1407,13,TOD,code snippet injection
1378,18,TOD,code snippet injection
1359,13,TOD,code snippet injection
1334,18,TOD,code snippet injection
1269,13,TOD,code snippet injection
1253,13,TOD,code snippet injection
916,18,TOD,code snippet injection
887,13,TOD,code snippet injection
784,18,TOD,code snippet injection
764,13,TOD,code snippet injection
730,13,TOD,code snippet injection
701,18,TOD,code snippet injection
662,18,TOD,code snippet injection
625,18,TOD,code snippet injection
590,18,TOD,code snippet injection
554,13,TOD,code snippet injection
517,18,TOD,code snippet injection
487,13,TOD,code snippet injection
456,13,TOD,code snippet injection
426,18,TOD,code snippet injection
401,18,TOD,code snippet injection
370,18,TOD,code snippet injection
345,18,TOD,code snippet injection
1222,13,TOD,code snippet injection
1204,13,TOD,code snippet injection
1188,13,TOD,code snippet injection
1167,18,TOD,code snippet injection
1146,18,TOD,code snippet injection
1123,18,TOD,code snippet injection
1098,18,TOD,code snippet injection
936,13,TOD,code snippet injection
844,18,TOD,code snippet injection
826,13,TOD,code snippet injection
