loc,length,bug type,approach
251,13,TOD,code snippet injection
216,13,TOD,code snippet injection
202,13,TOD,code snippet injection
714,18,TOD,code snippet injection
693,13,TOD,code snippet injection
674,13,TOD,code snippet injection
640,18,TOD,code snippet injection
611,13,TOD,code snippet injection
584,18,TOD,code snippet injection
556,13,TOD,code snippet injection
522,18,TOD,code snippet injection
495,13,TOD,code snippet injection
475,13,TOD,code snippet injection
323,18,TOD,code snippet injection
301,13,TOD,code snippet injection
270,18,TOD,code snippet injection
188,13,TOD,code snippet injection
174,13,TOD,code snippet injection
155,18,TOD,code snippet injection
136,18,TOD,code snippet injection
117,18,TOD,code snippet injection
72,18,TOD,code snippet injection
54,13,TOD,code snippet injection
31,18,TOD,code snippet injection
13,13,TOD,code snippet injection
451,13,TOD,code snippet injection
432,18,TOD,code snippet injection
412,18,TOD,code snippet injection
393,18,TOD,code snippet injection
374,18,TOD,code snippet injection
360,13,TOD,code snippet injection
346,13,TOD,code snippet injection
236,13,TOD,code snippet injection
96,18,TOD,code snippet injection
