loc,length,bug type,approach
1571,13,TOD,code snippet injection
1557,13,TOD,code snippet injection
1543,13,TOD,code snippet injection
1031,18,TOD,code snippet injection
1017,13,TOD,code snippet injection
1003,13,TOD,code snippet injection
984,18,TOD,code snippet injection
970,13,TOD,code snippet injection
951,18,TOD,code snippet injection
128,13,TOD,code snippet injection
108,18,TOD,code snippet injection
13,13,TOD,code snippet injection
1892,13,TOD,code snippet injection
1865,18,TOD,code snippet injection
1839,13,TOD,code snippet injection
1775,18,TOD,code snippet injection
1727,13,TOD,code snippet injection
1668,13,TOD,code snippet injection
1632,18,TOD,code snippet injection
1313,18,TOD,code snippet injection
1290,18,TOD,code snippet injection
1271,18,TOD,code snippet injection
1245,13,TOD,code snippet injection
1211,18,TOD,code snippet injection
1177,13,TOD,code snippet injection
1149,13,TOD,code snippet injection
1119,18,TOD,code snippet injection
1085,18,TOD,code snippet injection
1060,18,TOD,code snippet injection
808,18,TOD,code snippet injection
783,13,TOD,code snippet injection
735,13,TOD,code snippet injection
713,13,TOD,code snippet injection
676,18,TOD,code snippet injection
644,18,TOD,code snippet injection
612,18,TOD,code snippet injection
579,18,TOD,code snippet injection
552,13,TOD,code snippet injection
516,18,TOD,code snippet injection
485,13,TOD,code snippet injection
