loc,length,bug type,approach
660,13,TOD,code snippet injection
646,13,TOD,code snippet injection
893,13,TOD,code snippet injection
873,18,TOD,code snippet injection
837,13,TOD,code snippet injection
810,13,TOD,code snippet injection
771,18,TOD,code snippet injection
746,13,TOD,code snippet injection
696,18,TOD,code snippet injection
627,13,TOD,code snippet injection
601,18,TOD,code snippet injection
583,13,TOD,code snippet injection
562,13,TOD,code snippet injection
515,18,TOD,code snippet injection
494,13,TOD,code snippet injection
472,18,TOD,code snippet injection
454,13,TOD,code snippet injection
437,13,TOD,code snippet injection
405,18,TOD,code snippet injection
181,18,TOD,code snippet injection
159,18,TOD,code snippet injection
137,18,TOD,code snippet injection
120,13,TOD,code snippet injection
95,18,TOD,code snippet injection
78,13,TOD,code snippet injection
61,13,TOD,code snippet injection
380,18,TOD,code snippet injection
361,18,TOD,code snippet injection
342,18,TOD,code snippet injection
323,18,TOD,code snippet injection
309,13,TOD,code snippet injection
295,13,TOD,code snippet injection
281,13,TOD,code snippet injection
262,18,TOD,code snippet injection
243,18,TOD,code snippet injection
224,18,TOD,code snippet injection
205,18,TOD,code snippet injection
