loc,length,bug type,approach
607,13,TOD,code snippet injection
593,13,TOD,code snippet injection
898,13,TOD,code snippet injection
720,18,TOD,code snippet injection
693,13,TOD,code snippet injection
675,13,TOD,code snippet injection
651,18,TOD,code snippet injection
625,13,TOD,code snippet injection
571,18,TOD,code snippet injection
554,13,TOD,code snippet injection
532,18,TOD,code snippet injection
515,13,TOD,code snippet injection
436,13,TOD,code snippet injection
410,18,TOD,code snippet injection
389,13,TOD,code snippet injection
362,18,TOD,code snippet injection
344,13,TOD,code snippet injection
326,13,TOD,code snippet injection
302,18,TOD,code snippet injection
279,18,TOD,code snippet injection
257,18,TOD,code snippet injection
234,18,TOD,code snippet injection
217,13,TOD,code snippet injection
59,18,TOD,code snippet injection
42,13,TOD,code snippet injection
874,13,TOD,code snippet injection
855,18,TOD,code snippet injection
836,18,TOD,code snippet injection
817,18,TOD,code snippet injection
798,18,TOD,code snippet injection
784,13,TOD,code snippet injection
769,13,TOD,code snippet injection
755,13,TOD,code snippet injection
490,18,TOD,code snippet injection
471,18,TOD,code snippet injection
452,18,TOD,code snippet injection
194,18,TOD,code snippet injection
179,13,TOD,code snippet injection
159,18,TOD,code snippet injection
