loc,length,bug type,approach
214,13,TOD,code snippet injection
155,13,TOD,code snippet injection
128,13,TOD,code snippet injection
591,18,TOD,code snippet injection
571,13,TOD,code snippet injection
550,13,TOD,code snippet injection
515,18,TOD,code snippet injection
488,13,TOD,code snippet injection
458,18,TOD,code snippet injection
438,13,TOD,code snippet injection
413,18,TOD,code snippet injection
278,13,TOD,code snippet injection
259,13,TOD,code snippet injection
232,18,TOD,code snippet injection
128,13,TOD,code snippet injection
109,18,TOD,code snippet injection
95,13,TOD,code snippet injection
81,13,TOD,code snippet injection
62,18,TOD,code snippet injection
43,18,TOD,code snippet injection
381,18,TOD,code snippet injection
362,18,TOD,code snippet injection
347,13,TOD,code snippet injection
328,18,TOD,code snippet injection
314,13,TOD,code snippet injection
300,13,TOD,code snippet injection
194,18,TOD,code snippet injection
175,18,TOD,code snippet injection
