loc,length,bug type,approach
581,13,TOD,code snippet injection
402,13,TOD,code snippet injection
388,13,TOD,code snippet injection
1730,18,TOD,code snippet injection
1703,13,TOD,code snippet injection
1675,13,TOD,code snippet injection
1637,18,TOD,code snippet injection
1612,13,TOD,code snippet injection
1582,18,TOD,code snippet injection
1557,13,TOD,code snippet injection
1518,18,TOD,code snippet injection
1484,13,TOD,code snippet injection
1449,13,TOD,code snippet injection
1404,18,TOD,code snippet injection
1364,13,TOD,code snippet injection
1323,18,TOD,code snippet injection
1287,13,TOD,code snippet injection
1251,13,TOD,code snippet injection
1210,18,TOD,code snippet injection
1164,18,TOD,code snippet injection
1114,18,TOD,code snippet injection
1051,18,TOD,code snippet injection
1034,13,TOD,code snippet injection
1011,18,TOD,code snippet injection
982,13,TOD,code snippet injection
958,13,TOD,code snippet injection
924,18,TOD,code snippet injection
891,18,TOD,code snippet injection
849,18,TOD,code snippet injection
808,18,TOD,code snippet injection
777,13,TOD,code snippet injection
720,13,TOD,code snippet injection
699,13,TOD,code snippet injection
642,18,TOD,code snippet injection
614,18,TOD,code snippet injection
545,18,TOD,code snippet injection
518,18,TOD,code snippet injection
495,13,TOD,code snippet injection
467,18,TOD,code snippet injection
421,13,TOD,code snippet injection
