loc,length,bug type,approach
658,13,TOD,code snippet injection
552,13,TOD,code snippet injection
520,13,TOD,code snippet injection
90,18,TOD,code snippet injection
1305,13,TOD,code snippet injection
1283,13,TOD,code snippet injection
1240,18,TOD,code snippet injection
1211,13,TOD,code snippet injection
1167,18,TOD,code snippet injection
1141,13,TOD,code snippet injection
1113,18,TOD,code snippet injection
1082,13,TOD,code snippet injection
1049,13,TOD,code snippet injection
1011,18,TOD,code snippet injection
961,13,TOD,code snippet injection
886,18,TOD,code snippet injection
817,13,TOD,code snippet injection
770,13,TOD,code snippet injection
738,18,TOD,code snippet injection
520,18,TOD,code snippet injection
501,18,TOD,code snippet injection
482,18,TOD,code snippet injection
468,13,TOD,code snippet injection
449,18,TOD,code snippet injection
435,13,TOD,code snippet injection
229,13,TOD,code snippet injection
202,18,TOD,code snippet injection
176,18,TOD,code snippet injection
143,18,TOD,code snippet injection
118,18,TOD,code snippet injection
63,13,TOD,code snippet injection
45,13,TOD,code snippet injection
27,13,TOD,code snippet injection
712,18,TOD,code snippet injection
692,18,TOD,code snippet injection
673,18,TOD,code snippet injection
624,18,TOD,code snippet injection
610,13,TOD,code snippet injection
589,18,TOD,code snippet injection
575,13,TOD,code snippet injection
