loc,length,bug type,approach
827,13,TOD,code snippet injection
796,13,TOD,code snippet injection
769,13,TOD,code snippet injection
729,18,TOD,code snippet injection
702,13,TOD,code snippet injection
670,13,TOD,code snippet injection
643,18,TOD,code snippet injection
623,13,TOD,code snippet injection
593,18,TOD,code snippet injection
564,13,TOD,code snippet injection
536,18,TOD,code snippet injection
516,13,TOD,code snippet injection
491,13,TOD,code snippet injection
451,18,TOD,code snippet injection
416,13,TOD,code snippet injection
385,18,TOD,code snippet injection
365,13,TOD,code snippet injection
340,13,TOD,code snippet injection
278,18,TOD,code snippet injection
258,18,TOD,code snippet injection
237,18,TOD,code snippet injection
217,18,TOD,code snippet injection
