loc,length,bug type,approach
1172,13,TOD,code snippet injection
1153,13,TOD,code snippet injection
203,13,TOD,code snippet injection
184,18,TOD,code snippet injection
138,13,TOD,code snippet injection
2040,13,TOD,code snippet injection
2016,18,TOD,code snippet injection
1995,13,TOD,code snippet injection
1970,18,TOD,code snippet injection
1951,13,TOD,code snippet injection
1921,18,TOD,code snippet injection
1900,13,TOD,code snippet injection
1877,13,TOD,code snippet injection
1851,18,TOD,code snippet injection
1812,13,TOD,code snippet injection
1766,18,TOD,code snippet injection
1752,13,TOD,code snippet injection
1727,13,TOD,code snippet injection
1696,18,TOD,code snippet injection
1665,18,TOD,code snippet injection
1638,18,TOD,code snippet injection
1561,18,TOD,code snippet injection
1499,13,TOD,code snippet injection
1453,18,TOD,code snippet injection
1413,13,TOD,code snippet injection
1363,13,TOD,code snippet injection
1218,18,TOD,code snippet injection
1193,18,TOD,code snippet injection
1122,18,TOD,code snippet injection
1098,18,TOD,code snippet injection
1078,13,TOD,code snippet injection
1061,13,TOD,code snippet injection
1044,13,TOD,code snippet injection
988,18,TOD,code snippet injection
961,18,TOD,code snippet injection
926,18,TOD,code snippet injection
907,18,TOD,code snippet injection
884,13,TOD,code snippet injection
865,18,TOD,code snippet injection
851,13,TOD,code snippet injection
