loc,length,bug type,approach
522,13,TOD,code snippet injection
507,13,TOD,code snippet injection
322,13,TOD,code snippet injection
297,18,TOD,code snippet injection
140,13,TOD,code snippet injection
126,13,TOD,code snippet injection
880,18,TOD,code snippet injection
853,13,TOD,code snippet injection
828,18,TOD,code snippet injection
804,13,TOD,code snippet injection
774,18,TOD,code snippet injection
747,13,TOD,code snippet injection
723,13,TOD,code snippet injection
690,18,TOD,code snippet injection
660,13,TOD,code snippet injection
627,18,TOD,code snippet injection
601,13,TOD,code snippet injection
573,13,TOD,code snippet injection
545,18,TOD,code snippet injection
370,18,TOD,code snippet injection
346,18,TOD,code snippet injection
278,18,TOD,code snippet injection
258,13,TOD,code snippet injection
230,18,TOD,code snippet injection
208,13,TOD,code snippet injection
187,13,TOD,code snippet injection
164,18,TOD,code snippet injection
107,18,TOD,code snippet injection
88,18,TOD,code snippet injection
69,18,TOD,code snippet injection
55,13,TOD,code snippet injection
41,13,TOD,code snippet injection
27,13,TOD,code snippet injection
5,18,TOD,code snippet injection
486,18,TOD,code snippet injection
466,18,TOD,code snippet injection
446,18,TOD,code snippet injection
430,13,TOD,code snippet injection
410,18,TOD,code snippet injection
395,13,TOD,code snippet injection
