loc,length,bug type,approach
681,13,TOD,code snippet injection
667,13,TOD,code snippet injection
571,13,TOD,code snippet injection
415,18,TOD,code snippet injection
123,13,TOD,code snippet injection
109,13,TOD,code snippet injection
848,18,TOD,code snippet injection
831,13,TOD,code snippet injection
806,18,TOD,code snippet injection
788,13,TOD,code snippet injection
766,18,TOD,code snippet injection
747,13,TOD,code snippet injection
715,13,TOD,code snippet injection
648,18,TOD,code snippet injection
632,13,TOD,code snippet injection
608,18,TOD,code snippet injection
589,13,TOD,code snippet injection
557,13,TOD,code snippet injection
528,18,TOD,code snippet injection
495,18,TOD,code snippet injection
396,18,TOD,code snippet injection
373,18,TOD,code snippet injection
354,13,TOD,code snippet injection
330,18,TOD,code snippet injection
313,13,TOD,code snippet injection
289,13,TOD,code snippet injection
265,18,TOD,code snippet injection
238,18,TOD,code snippet injection
214,18,TOD,code snippet injection
192,18,TOD,code snippet injection
175,13,TOD,code snippet injection
95,13,TOD,code snippet injection
81,13,TOD,code snippet injection
62,18,TOD,code snippet injection
43,18,TOD,code snippet injection
24,18,TOD,code snippet injection
5,18,TOD,code snippet injection
476,13,TOD,code snippet injection
456,18,TOD,code snippet injection
442,13,TOD,code snippet injection
