loc,length,bug type,approach
635,13,TOD,code snippet injection
621,13,TOD,code snippet injection
909,13,TOD,code snippet injection
731,18,TOD,code snippet injection
703,13,TOD,code snippet injection
684,13,TOD,code snippet injection
653,18,TOD,code snippet injection
603,13,TOD,code snippet injection
581,18,TOD,code snippet injection
564,13,TOD,code snippet injection
542,18,TOD,code snippet injection
463,13,TOD,code snippet injection
442,13,TOD,code snippet injection
416,18,TOD,code snippet injection
395,13,TOD,code snippet injection
368,18,TOD,code snippet injection
350,13,TOD,code snippet injection
332,13,TOD,code snippet injection
308,18,TOD,code snippet injection
285,18,TOD,code snippet injection
263,18,TOD,code snippet injection
240,18,TOD,code snippet injection
223,13,TOD,code snippet injection
65,18,TOD,code snippet injection
48,13,TOD,code snippet injection
885,13,TOD,code snippet injection
866,18,TOD,code snippet injection
847,18,TOD,code snippet injection
828,18,TOD,code snippet injection
809,18,TOD,code snippet injection
795,13,TOD,code snippet injection
780,13,TOD,code snippet injection
766,13,TOD,code snippet injection
517,18,TOD,code snippet injection
498,18,TOD,code snippet injection
479,18,TOD,code snippet injection
200,18,TOD,code snippet injection
185,13,TOD,code snippet injection
165,18,TOD,code snippet injection
