loc,length,bug type,approach
596,13,TOD,code snippet injection
365,13,TOD,code snippet injection
190,13,TOD,code snippet injection
171,18,TOD,code snippet injection
92,13,TOD,code snippet injection
1110,13,TOD,code snippet injection
1082,18,TOD,code snippet injection
1065,13,TOD,code snippet injection
1043,18,TOD,code snippet injection
1026,13,TOD,code snippet injection
924,18,TOD,code snippet injection
903,13,TOD,code snippet injection
882,13,TOD,code snippet injection
856,18,TOD,code snippet injection
835,13,TOD,code snippet injection
800,18,TOD,code snippet injection
764,13,TOD,code snippet injection
731,13,TOD,code snippet injection
699,18,TOD,code snippet injection
666,18,TOD,code snippet injection
574,18,TOD,code snippet injection
554,18,TOD,code snippet injection
537,13,TOD,code snippet injection
507,18,TOD,code snippet injection
485,13,TOD,code snippet injection
446,13,TOD,code snippet injection
365,18,TOD,code snippet injection
346,18,TOD,code snippet injection
327,18,TOD,code snippet injection
251,18,TOD,code snippet injection
230,13,TOD,code snippet injection
148,13,TOD,code snippet injection
114,13,TOD,code snippet injection
1002,18,TOD,code snippet injection
983,18,TOD,code snippet injection
964,18,TOD,code snippet injection
945,18,TOD,code snippet injection
620,13,TOD,code snippet injection
420,18,TOD,code snippet injection
405,13,TOD,code snippet injection
