loc,length,bug type,approach
291,13,TOD,code snippet injection
277,13,TOD,code snippet injection
263,13,TOD,code snippet injection
244,18,TOD,code snippet injection
230,13,TOD,code snippet injection
216,13,TOD,code snippet injection
637,18,TOD,code snippet injection
619,13,TOD,code snippet injection
574,18,TOD,code snippet injection
552,13,TOD,code snippet injection
523,18,TOD,code snippet injection
503,13,TOD,code snippet injection
482,13,TOD,code snippet injection
455,18,TOD,code snippet injection
440,13,TOD,code snippet injection
412,18,TOD,code snippet injection
397,13,TOD,code snippet injection
383,13,TOD,code snippet injection
364,18,TOD,code snippet injection
344,18,TOD,code snippet injection
325,18,TOD,code snippet injection
306,18,TOD,code snippet injection
