loc,length,bug type,approach
900,13,TOD,code snippet injection
132,13,TOD,code snippet injection
1040,13,TOD,code snippet injection
949,18,TOD,code snippet injection
930,13,TOD,code snippet injection
848,13,TOD,code snippet injection
821,18,TOD,code snippet injection
793,13,TOD,code snippet injection
762,18,TOD,code snippet injection
735,13,TOD,code snippet injection
703,18,TOD,code snippet injection
675,13,TOD,code snippet injection
648,13,TOD,code snippet injection
615,18,TOD,code snippet injection
587,13,TOD,code snippet injection
555,18,TOD,code snippet injection
528,13,TOD,code snippet injection
505,13,TOD,code snippet injection
477,18,TOD,code snippet injection
450,18,TOD,code snippet injection
282,18,TOD,code snippet injection
254,18,TOD,code snippet injection
233,13,TOD,code snippet injection
203,18,TOD,code snippet injection
175,13,TOD,code snippet injection
155,13,TOD,code snippet injection
85,18,TOD,code snippet injection
1015,18,TOD,code snippet injection
996,18,TOD,code snippet injection
977,18,TOD,code snippet injection
885,13,TOD,code snippet injection
871,13,TOD,code snippet injection
429,13,TOD,code snippet injection
409,18,TOD,code snippet injection
389,18,TOD,code snippet injection
112,18,TOD,code snippet injection
