loc,length,bug type,approach
1127,13,TOD,code snippet injection
1113,13,TOD,code snippet injection
1099,13,TOD,code snippet injection
1080,18,TOD,code snippet injection
1066,13,TOD,code snippet injection
594,13,TOD,code snippet injection
571,18,TOD,code snippet injection
504,13,TOD,code snippet injection
485,18,TOD,code snippet injection
338,13,TOD,code snippet injection
2157,18,TOD,code snippet injection
2138,13,TOD,code snippet injection
2119,13,TOD,code snippet injection
2089,18,TOD,code snippet injection
2066,13,TOD,code snippet injection
2002,18,TOD,code snippet injection
1980,13,TOD,code snippet injection
1959,13,TOD,code snippet injection
1902,18,TOD,code snippet injection
1880,18,TOD,code snippet injection
1858,18,TOD,code snippet injection
1832,18,TOD,code snippet injection
1815,13,TOD,code snippet injection
1791,18,TOD,code snippet injection
1771,13,TOD,code snippet injection
1753,13,TOD,code snippet injection
1717,18,TOD,code snippet injection
1680,18,TOD,code snippet injection
1640,18,TOD,code snippet injection
1618,18,TOD,code snippet injection
1510,13,TOD,code snippet injection
1484,13,TOD,code snippet injection
1450,13,TOD,code snippet injection
1420,18,TOD,code snippet injection
1389,18,TOD,code snippet injection
1363,18,TOD,code snippet injection
1340,18,TOD,code snippet injection
1323,13,TOD,code snippet injection
1300,18,TOD,code snippet injection
1282,13,TOD,code snippet injection
