loc,length,bug type,approach
461,13,TOD,code snippet injection
442,13,TOD,code snippet injection
414,13,TOD,code snippet injection
112,18,TOD,code snippet injection
390,13,TOD,code snippet injection
373,13,TOD,code snippet injection
351,18,TOD,code snippet injection
334,13,TOD,code snippet injection
312,18,TOD,code snippet injection
295,13,TOD,code snippet injection
273,18,TOD,code snippet injection
256,13,TOD,code snippet injection
239,13,TOD,code snippet injection
215,18,TOD,code snippet injection
201,13,TOD,code snippet injection
182,18,TOD,code snippet injection
168,13,TOD,code snippet injection
154,13,TOD,code snippet injection
135,18,TOD,code snippet injection
72,18,TOD,code snippet injection
