loc,length,bug type,approach
1408,13,TOD,code snippet injection
1394,13,TOD,code snippet injection
1380,13,TOD,code snippet injection
1361,18,TOD,code snippet injection
1334,13,TOD,code snippet injection
1334,13,TOD,code snippet injection
1313,18,TOD,code snippet injection
1297,13,TOD,code snippet injection
1275,18,TOD,code snippet injection
1258,13,TOD,code snippet injection
1237,18,TOD,code snippet injection
1219,13,TOD,code snippet injection
1202,13,TOD,code snippet injection
1178,18,TOD,code snippet injection
1157,13,TOD,code snippet injection
1131,18,TOD,code snippet injection
1102,13,TOD,code snippet injection
1053,13,TOD,code snippet injection
1025,18,TOD,code snippet injection
1004,18,TOD,code snippet injection
975,18,TOD,code snippet injection
940,18,TOD,code snippet injection
899,13,TOD,code snippet injection
868,18,TOD,code snippet injection
842,13,TOD,code snippet injection
808,13,TOD,code snippet injection
777,18,TOD,code snippet injection
743,18,TOD,code snippet injection
699,18,TOD,code snippet injection
657,18,TOD,code snippet injection
625,13,TOD,code snippet injection
585,13,TOD,code snippet injection
569,13,TOD,code snippet injection
536,18,TOD,code snippet injection
517,18,TOD,code snippet injection
498,18,TOD,code snippet injection
479,18,TOD,code snippet injection
465,13,TOD,code snippet injection
446,18,TOD,code snippet injection
432,13,TOD,code snippet injection
