loc,length,bug type,approach
1938,13,TOD,code snippet injection
1989,13,TOD,code snippet injection
1964,13,TOD,code snippet injection
1907,18,TOD,code snippet injection
1887,13,TOD,code snippet injection
1829,13,TOD,code snippet injection
1767,18,TOD,code snippet injection
1716,13,TOD,code snippet injection
1675,18,TOD,code snippet injection
1635,13,TOD,code snippet injection
1593,18,TOD,code snippet injection
1576,13,TOD,code snippet injection
1520,13,TOD,code snippet injection
1490,18,TOD,code snippet injection
1465,13,TOD,code snippet injection
1428,18,TOD,code snippet injection
1390,13,TOD,code snippet injection
1373,13,TOD,code snippet injection
1330,18,TOD,code snippet injection
1308,18,TOD,code snippet injection
1262,18,TOD,code snippet injection
1240,18,TOD,code snippet injection
1223,13,TOD,code snippet injection
1201,18,TOD,code snippet injection
1164,13,TOD,code snippet injection
1128,13,TOD,code snippet injection
1082,18,TOD,code snippet injection
1060,18,TOD,code snippet injection
1038,18,TOD,code snippet injection
1014,18,TOD,code snippet injection
996,13,TOD,code snippet injection
979,13,TOD,code snippet injection
956,13,TOD,code snippet injection
928,18,TOD,code snippet injection
900,18,TOD,code snippet injection
872,18,TOD,code snippet injection
845,18,TOD,code snippet injection
823,13,TOD,code snippet injection
796,18,TOD,code snippet injection
774,13,TOD,code snippet injection
