loc,length,bug type,approach
1247,13,TOD,code snippet injection
1226,13,TOD,code snippet injection
677,13,TOD,code snippet injection
658,18,TOD,code snippet injection
586,13,TOD,code snippet injection
1464,13,TOD,code snippet injection
1438,18,TOD,code snippet injection
1415,13,TOD,code snippet injection
1355,18,TOD,code snippet injection
1293,13,TOD,code snippet injection
1268,18,TOD,code snippet injection
1203,13,TOD,code snippet injection
1177,13,TOD,code snippet injection
1137,18,TOD,code snippet injection
1117,13,TOD,code snippet injection
1090,18,TOD,code snippet injection
1070,13,TOD,code snippet injection
1029,13,TOD,code snippet injection
978,18,TOD,code snippet injection
947,18,TOD,code snippet injection
919,18,TOD,code snippet injection
894,18,TOD,code snippet injection
853,13,TOD,code snippet injection
820,18,TOD,code snippet injection
805,13,TOD,code snippet injection
783,13,TOD,code snippet injection
748,18,TOD,code snippet injection
725,18,TOD,code snippet injection
702,18,TOD,code snippet injection
636,18,TOD,code snippet injection
619,13,TOD,code snippet injection
557,13,TOD,code snippet injection
542,13,TOD,code snippet injection
522,18,TOD,code snippet injection
502,18,TOD,code snippet injection
482,18,TOD,code snippet injection
433,18,TOD,code snippet injection
416,13,TOD,code snippet injection
394,18,TOD,code snippet injection
377,13,TOD,code snippet injection
