loc,length,bug type,approach
1002,13,TOD,code snippet injection
981,13,TOD,code snippet injection
962,13,TOD,code snippet injection
939,18,TOD,code snippet injection
230,13,TOD,code snippet injection
198,13,TOD,code snippet injection
917,18,TOD,code snippet injection
893,13,TOD,code snippet injection
859,18,TOD,code snippet injection
833,13,TOD,code snippet injection
802,18,TOD,code snippet injection
776,13,TOD,code snippet injection
736,13,TOD,code snippet injection
700,18,TOD,code snippet injection
671,13,TOD,code snippet injection
583,18,TOD,code snippet injection
561,13,TOD,code snippet injection
429,13,TOD,code snippet injection
395,18,TOD,code snippet injection
365,18,TOD,code snippet injection
321,18,TOD,code snippet injection
283,18,TOD,code snippet injection
259,13,TOD,code snippet injection
198,18,TOD,code snippet injection
184,13,TOD,code snippet injection
170,13,TOD,code snippet injection
151,18,TOD,code snippet injection
132,18,TOD,code snippet injection
113,18,TOD,code snippet injection
83,18,TOD,code snippet injection
64,13,TOD,code snippet injection
46,13,TOD,code snippet injection
26,13,TOD,code snippet injection
640,18,TOD,code snippet injection
621,18,TOD,code snippet injection
602,18,TOD,code snippet injection
533,18,TOD,code snippet injection
514,13,TOD,code snippet injection
491,18,TOD,code snippet injection
473,13,TOD,code snippet injection
