loc,length,bug type,approach
674,13,TOD,code snippet injection
631,13,TOD,code snippet injection
605,13,TOD,code snippet injection
573,18,TOD,code snippet injection
546,13,TOD,code snippet injection
518,13,TOD,code snippet injection
486,18,TOD,code snippet injection
458,13,TOD,code snippet injection
425,18,TOD,code snippet injection
398,13,TOD,code snippet injection
366,18,TOD,code snippet injection
343,13,TOD,code snippet injection
320,13,TOD,code snippet injection
293,18,TOD,code snippet injection
209,13,TOD,code snippet injection
184,18,TOD,code snippet injection
164,13,TOD,code snippet injection
144,13,TOD,code snippet injection
650,18,TOD,code snippet injection
267,18,TOD,code snippet injection
247,18,TOD,code snippet injection
227,18,TOD,code snippet injection
124,13,TOD,code snippet injection
105,18,TOD,code snippet injection
91,13,TOD,code snippet injection
