loc,length,bug type,approach
297,13,TOD,code snippet injection
283,13,TOD,code snippet injection
268,13,TOD,code snippet injection
244,18,TOD,code snippet injection
224,13,TOD,code snippet injection
199,13,TOD,code snippet injection
172,18,TOD,code snippet injection
154,13,TOD,code snippet injection
132,18,TOD,code snippet injection
112,13,TOD,code snippet injection
91,18,TOD,code snippet injection
75,13,TOD,code snippet injection
61,13,TOD,code snippet injection
41,18,TOD,code snippet injection
27,13,TOD,code snippet injection
8,18,TOD,code snippet injection
