loc,length,bug type,approach
611,13,TOD,code snippet injection
597,13,TOD,code snippet injection
583,13,TOD,code snippet injection
564,18,TOD,code snippet injection
550,13,TOD,code snippet injection
914,13,TOD,code snippet injection
892,18,TOD,code snippet injection
875,13,TOD,code snippet injection
845,18,TOD,code snippet injection
811,13,TOD,code snippet injection
779,18,TOD,code snippet injection
749,13,TOD,code snippet injection
633,13,TOD,code snippet injection
67,18,TOD,code snippet injection
49,13,TOD,code snippet injection
516,18,TOD,code snippet injection
502,13,TOD,code snippet injection
488,13,TOD,code snippet injection
469,18,TOD,code snippet injection
450,18,TOD,code snippet injection
430,18,TOD,code snippet injection
408,18,TOD,code snippet injection
392,13,TOD,code snippet injection
369,18,TOD,code snippet injection
353,13,TOD,code snippet injection
335,13,TOD,code snippet injection
