loc,length,bug type,approach
751,13,TOD,code snippet injection
728,13,TOD,code snippet injection
706,13,TOD,code snippet injection
669,18,TOD,code snippet injection
649,13,TOD,code snippet injection
629,13,TOD,code snippet injection
604,18,TOD,code snippet injection
519,13,TOD,code snippet injection
488,18,TOD,code snippet injection
461,13,TOD,code snippet injection
429,18,TOD,code snippet injection
401,13,TOD,code snippet injection
374,13,TOD,code snippet injection
341,18,TOD,code snippet injection
313,13,TOD,code snippet injection
281,18,TOD,code snippet injection
254,13,TOD,code snippet injection
231,13,TOD,code snippet injection
203,18,TOD,code snippet injection
176,18,TOD,code snippet injection
579,18,TOD,code snippet injection
560,18,TOD,code snippet injection
546,13,TOD,code snippet injection
150,18,TOD,code snippet injection
135,13,TOD,code snippet injection
120,13,TOD,code snippet injection
