loc,length,bug type,approach
190,1,Timestamp-Dependency,code snippet injection
188,1,Timestamp-Dependency,code snippet injection
186,1,Timestamp-Dependency,code snippet injection
184,1,Timestamp-Dependency,code snippet injection
182,1,Timestamp-Dependency,code snippet injection
178,3,Timestamp-Dependency,code snippet injection
356,3,Timestamp-Dependency,code snippet injection
326,5,Timestamp-Dependency,code snippet injection
303,4,Timestamp-Dependency,code snippet injection
283,3,Timestamp-Dependency,code snippet injection
260,5,Timestamp-Dependency,code snippet injection
233,4,Timestamp-Dependency,code snippet injection
50,5,Timestamp-Dependency,code snippet injection
41,4,Timestamp-Dependency,code snippet injection
159,3,Timestamp-Dependency,code snippet injection
149,9,Timestamp-Dependency,code snippet injection
145,3,Timestamp-Dependency,code snippet injection
