loc,length,bug type,approach
74,1,Timestamp-Dependency,code snippet injection
72,1,Timestamp-Dependency,code snippet injection
70,1,Timestamp-Dependency,code snippet injection
68,1,Timestamp-Dependency,code snippet injection
66,1,Timestamp-Dependency,code snippet injection
62,3,Timestamp-Dependency,code snippet injection
251,3,Timestamp-Dependency,code snippet injection
241,5,Timestamp-Dependency,code snippet injection
210,4,Timestamp-Dependency,code snippet injection
198,3,Timestamp-Dependency,code snippet injection
182,5,Timestamp-Dependency,code snippet injection
171,4,Timestamp-Dependency,code snippet injection
158,5,Timestamp-Dependency,code snippet injection
145,4,Timestamp-Dependency,code snippet injection
140,3,Timestamp-Dependency,code snippet injection
121,9,Timestamp-Dependency,code snippet injection
116,3,Timestamp-Dependency,code snippet injection
110,5,Timestamp-Dependency,code snippet injection
100,9,Timestamp-Dependency,code snippet injection
93,5,Timestamp-Dependency,code snippet injection
83,9,Timestamp-Dependency,code snippet injection
77,5,Timestamp-Dependency,code snippet injection
