loc,length,bug type,approach
380,1,Timestamp-Dependency,code snippet injection
378,1,Timestamp-Dependency,code snippet injection
446,1,Timestamp-Dependency,code snippet injection
518,1,Timestamp-Dependency,code snippet injection
439,1,Timestamp-Dependency,code snippet injection
422,3,Timestamp-Dependency,code snippet injection
414,3,Timestamp-Dependency,code snippet injection
403,5,Timestamp-Dependency,code snippet injection
386,4,Timestamp-Dependency,code snippet injection
370,3,Timestamp-Dependency,code snippet injection
361,5,Timestamp-Dependency,code snippet injection
353,4,Timestamp-Dependency,code snippet injection
344,5,Timestamp-Dependency,code snippet injection
315,4,Timestamp-Dependency,code snippet injection
304,3,Timestamp-Dependency,code snippet injection
287,9,Timestamp-Dependency,code snippet injection
276,3,Timestamp-Dependency,code snippet injection
262,5,Timestamp-Dependency,code snippet injection
248,9,Timestamp-Dependency,code snippet injection
238,5,Timestamp-Dependency,code snippet injection
223,9,Timestamp-Dependency,code snippet injection
213,5,Timestamp-Dependency,code snippet injection
206,3,Timestamp-Dependency,code snippet injection
192,9,Timestamp-Dependency,code snippet injection
179,9,Timestamp-Dependency,code snippet injection
145,4,Timestamp-Dependency,code snippet injection
132,9,Timestamp-Dependency,code snippet injection
502,5,Timestamp-Dependency,code snippet injection
492,9,Timestamp-Dependency,code snippet injection
488,3,Timestamp-Dependency,code snippet injection
484,3,Timestamp-Dependency,code snippet injection
479,4,Timestamp-Dependency,code snippet injection
474,4,Timestamp-Dependency,code snippet injection
468,4,Timestamp-Dependency,code snippet injection
458,9,Timestamp-Dependency,code snippet injection
332,5,Timestamp-Dependency,code snippet injection
326,5,Timestamp-Dependency,code snippet injection
322,3,Timestamp-Dependency,code snippet injection
170,4,Timestamp-Dependency,code snippet injection
159,9,Timestamp-Dependency,code snippet injection
153,4,Timestamp-Dependency,code snippet injection
