loc,length,bug type,approach
779,1,Timestamp-Dependency,code snippet injection
794,1,Timestamp-Dependency,code snippet injection
787,1,Timestamp-Dependency,code snippet injection
770,1,Timestamp-Dependency,code snippet injection
715,1,Timestamp-Dependency,code snippet injection
756,3,Timestamp-Dependency,code snippet injection
747,3,Timestamp-Dependency,code snippet injection
741,5,Timestamp-Dependency,code snippet injection
736,4,Timestamp-Dependency,code snippet injection
732,3,Timestamp-Dependency,code snippet injection
726,5,Timestamp-Dependency,code snippet injection
721,4,Timestamp-Dependency,code snippet injection
481,5,Timestamp-Dependency,code snippet injection
476,4,Timestamp-Dependency,code snippet injection
456,3,Timestamp-Dependency,code snippet injection
446,9,Timestamp-Dependency,code snippet injection
442,3,Timestamp-Dependency,code snippet injection
436,5,Timestamp-Dependency,code snippet injection
425,9,Timestamp-Dependency,code snippet injection
419,5,Timestamp-Dependency,code snippet injection
409,9,Timestamp-Dependency,code snippet injection
403,5,Timestamp-Dependency,code snippet injection
398,3,Timestamp-Dependency,code snippet injection
388,9,Timestamp-Dependency,code snippet injection
378,9,Timestamp-Dependency,code snippet injection
373,4,Timestamp-Dependency,code snippet injection
363,9,Timestamp-Dependency,code snippet injection
357,5,Timestamp-Dependency,code snippet injection
347,9,Timestamp-Dependency,code snippet injection
343,3,Timestamp-Dependency,code snippet injection
339,3,Timestamp-Dependency,code snippet injection
334,4,Timestamp-Dependency,code snippet injection
