loc,length,bug type,approach
372,1,Timestamp-Dependency,code snippet injection
366,1,Timestamp-Dependency,code snippet injection
360,1,Timestamp-Dependency,code snippet injection
354,1,Timestamp-Dependency,code snippet injection
348,1,Timestamp-Dependency,code snippet injection
232,3,Timestamp-Dependency,code snippet injection
226,3,Timestamp-Dependency,code snippet injection
218,5,Timestamp-Dependency,code snippet injection
211,4,Timestamp-Dependency,code snippet injection
178,3,Timestamp-Dependency,code snippet injection
166,5,Timestamp-Dependency,code snippet injection
155,4,Timestamp-Dependency,code snippet injection
143,5,Timestamp-Dependency,code snippet injection
131,4,Timestamp-Dependency,code snippet injection
124,3,Timestamp-Dependency,code snippet injection
111,9,Timestamp-Dependency,code snippet injection
103,3,Timestamp-Dependency,code snippet injection
94,5,Timestamp-Dependency,code snippet injection
82,9,Timestamp-Dependency,code snippet injection
73,5,Timestamp-Dependency,code snippet injection
61,9,Timestamp-Dependency,code snippet injection
28,5,Timestamp-Dependency,code snippet injection
20,3,Timestamp-Dependency,code snippet injection
333,9,Timestamp-Dependency,code snippet injection
323,9,Timestamp-Dependency,code snippet injection
200,4,Timestamp-Dependency,code snippet injection
190,9,Timestamp-Dependency,code snippet injection
184,5,Timestamp-Dependency,code snippet injection
48,9,Timestamp-Dependency,code snippet injection
43,3,Timestamp-Dependency,code snippet injection
38,3,Timestamp-Dependency,code snippet injection
