loc,length,bug type,approach
712,1,Timestamp-Dependency,code snippet injection
696,1,Timestamp-Dependency,code snippet injection
679,1,Timestamp-Dependency,code snippet injection
661,1,Timestamp-Dependency,code snippet injection
659,1,Timestamp-Dependency,code snippet injection
654,3,Timestamp-Dependency,code snippet injection
650,3,Timestamp-Dependency,code snippet injection
644,5,Timestamp-Dependency,code snippet injection
631,4,Timestamp-Dependency,code snippet injection
627,3,Timestamp-Dependency,code snippet injection
621,5,Timestamp-Dependency,code snippet injection
613,4,Timestamp-Dependency,code snippet injection
604,5,Timestamp-Dependency,code snippet injection
595,4,Timestamp-Dependency,code snippet injection
588,3,Timestamp-Dependency,code snippet injection
575,9,Timestamp-Dependency,code snippet injection
568,3,Timestamp-Dependency,code snippet injection
559,5,Timestamp-Dependency,code snippet injection
546,9,Timestamp-Dependency,code snippet injection
537,5,Timestamp-Dependency,code snippet injection
524,9,Timestamp-Dependency,code snippet injection
510,5,Timestamp-Dependency,code snippet injection
503,3,Timestamp-Dependency,code snippet injection
490,9,Timestamp-Dependency,code snippet injection
477,9,Timestamp-Dependency,code snippet injection
469,4,Timestamp-Dependency,code snippet injection
456,9,Timestamp-Dependency,code snippet injection
447,5,Timestamp-Dependency,code snippet injection
434,9,Timestamp-Dependency,code snippet injection
426,3,Timestamp-Dependency,code snippet injection
419,3,Timestamp-Dependency,code snippet injection
411,4,Timestamp-Dependency,code snippet injection
403,4,Timestamp-Dependency,code snippet injection
393,4,Timestamp-Dependency,code snippet injection
380,9,Timestamp-Dependency,code snippet injection
371,5,Timestamp-Dependency,code snippet injection
362,5,Timestamp-Dependency,code snippet injection
354,3,Timestamp-Dependency,code snippet injection
345,4,Timestamp-Dependency,code snippet injection
329,9,Timestamp-Dependency,code snippet injection
318,4,Timestamp-Dependency,code snippet injection
302,9,Timestamp-Dependency,code snippet injection
292,3,Timestamp-Dependency,code snippet injection
279,4,Timestamp-Dependency,code snippet injection
265,5,Timestamp-Dependency,code snippet injection
