loc,length,bug type,approach
349,1,Timestamp-Dependency,code snippet injection
347,1,Timestamp-Dependency,code snippet injection
345,1,Timestamp-Dependency,code snippet injection
342,1,Timestamp-Dependency,code snippet injection
340,1,Timestamp-Dependency,code snippet injection
335,3,Timestamp-Dependency,code snippet injection
331,3,Timestamp-Dependency,code snippet injection
325,5,Timestamp-Dependency,code snippet injection
319,4,Timestamp-Dependency,code snippet injection
315,3,Timestamp-Dependency,code snippet injection
159,5,Timestamp-Dependency,code snippet injection
154,4,Timestamp-Dependency,code snippet injection
92,5,Timestamp-Dependency,code snippet injection
87,4,Timestamp-Dependency,code snippet injection
997,3,Timestamp-Dependency,code snippet injection
971,9,Timestamp-Dependency,code snippet injection
952,3,Timestamp-Dependency,code snippet injection
936,5,Timestamp-Dependency,code snippet injection
916,9,Timestamp-Dependency,code snippet injection
899,5,Timestamp-Dependency,code snippet injection
871,9,Timestamp-Dependency,code snippet injection
831,5,Timestamp-Dependency,code snippet injection
799,3,Timestamp-Dependency,code snippet injection
719,9,Timestamp-Dependency,code snippet injection
704,9,Timestamp-Dependency,code snippet injection
696,4,Timestamp-Dependency,code snippet injection
683,9,Timestamp-Dependency,code snippet injection
674,5,Timestamp-Dependency,code snippet injection
653,9,Timestamp-Dependency,code snippet injection
640,3,Timestamp-Dependency,code snippet injection
633,3,Timestamp-Dependency,code snippet injection
603,4,Timestamp-Dependency,code snippet injection
594,4,Timestamp-Dependency,code snippet injection
579,4,Timestamp-Dependency,code snippet injection
566,9,Timestamp-Dependency,code snippet injection
543,5,Timestamp-Dependency,code snippet injection
522,5,Timestamp-Dependency,code snippet injection
484,3,Timestamp-Dependency,code snippet injection
471,4,Timestamp-Dependency,code snippet injection
452,9,Timestamp-Dependency,code snippet injection
444,4,Timestamp-Dependency,code snippet injection
425,9,Timestamp-Dependency,code snippet injection
408,3,Timestamp-Dependency,code snippet injection
400,4,Timestamp-Dependency,code snippet injection
391,5,Timestamp-Dependency,code snippet injection
