loc,length,bug type,approach
325,1,Timestamp-Dependency,code snippet injection
309,1,Timestamp-Dependency,code snippet injection
307,1,Timestamp-Dependency,code snippet injection
192,1,Timestamp-Dependency,code snippet injection
190,1,Timestamp-Dependency,code snippet injection
88,3,Timestamp-Dependency,code snippet injection
630,3,Timestamp-Dependency,code snippet injection
610,5,Timestamp-Dependency,code snippet injection
595,4,Timestamp-Dependency,code snippet injection
584,3,Timestamp-Dependency,code snippet injection
563,5,Timestamp-Dependency,code snippet injection
545,4,Timestamp-Dependency,code snippet injection
526,5,Timestamp-Dependency,code snippet injection
510,4,Timestamp-Dependency,code snippet injection
497,3,Timestamp-Dependency,code snippet injection
478,9,Timestamp-Dependency,code snippet injection
465,3,Timestamp-Dependency,code snippet injection
449,5,Timestamp-Dependency,code snippet injection
430,9,Timestamp-Dependency,code snippet injection
416,5,Timestamp-Dependency,code snippet injection
400,9,Timestamp-Dependency,code snippet injection
388,5,Timestamp-Dependency,code snippet injection
378,3,Timestamp-Dependency,code snippet injection
362,9,Timestamp-Dependency,code snippet injection
345,9,Timestamp-Dependency,code snippet injection
334,4,Timestamp-Dependency,code snippet injection
254,9,Timestamp-Dependency,code snippet injection
241,5,Timestamp-Dependency,code snippet injection
208,9,Timestamp-Dependency,code snippet injection
198,3,Timestamp-Dependency,code snippet injection
175,3,Timestamp-Dependency,code snippet injection
159,4,Timestamp-Dependency,code snippet injection
139,4,Timestamp-Dependency,code snippet injection
117,4,Timestamp-Dependency,code snippet injection
101,9,Timestamp-Dependency,code snippet injection
318,5,Timestamp-Dependency,code snippet injection
312,5,Timestamp-Dependency,code snippet injection
303,3,Timestamp-Dependency,code snippet injection
297,4,Timestamp-Dependency,code snippet injection
286,9,Timestamp-Dependency,code snippet injection
281,4,Timestamp-Dependency,code snippet injection
271,9,Timestamp-Dependency,code snippet injection
185,3,Timestamp-Dependency,code snippet injection
82,4,Timestamp-Dependency,code snippet injection
