loc,length,bug type,approach
116,1,Timestamp-Dependency,code snippet injection
82,1,Timestamp-Dependency,code snippet injection
80,1,Timestamp-Dependency,code snippet injection
130,1,Timestamp-Dependency,code snippet injection
360,1,Timestamp-Dependency,code snippet injection
349,3,Timestamp-Dependency,code snippet injection
338,3,Timestamp-Dependency,code snippet injection
320,5,Timestamp-Dependency,code snippet injection
307,4,Timestamp-Dependency,code snippet injection
286,3,Timestamp-Dependency,code snippet injection
266,5,Timestamp-Dependency,code snippet injection
249,4,Timestamp-Dependency,code snippet injection
236,5,Timestamp-Dependency,code snippet injection
224,4,Timestamp-Dependency,code snippet injection
150,3,Timestamp-Dependency,code snippet injection
135,9,Timestamp-Dependency,code snippet injection
122,3,Timestamp-Dependency,code snippet injection
94,5,Timestamp-Dependency,code snippet injection
70,9,Timestamp-Dependency,code snippet injection
64,5,Timestamp-Dependency,code snippet injection
54,9,Timestamp-Dependency,code snippet injection
48,5,Timestamp-Dependency,code snippet injection
44,3,Timestamp-Dependency,code snippet injection
34,9,Timestamp-Dependency,code snippet injection
199,9,Timestamp-Dependency,code snippet injection
194,4,Timestamp-Dependency,code snippet injection
183,9,Timestamp-Dependency,code snippet injection
177,5,Timestamp-Dependency,code snippet injection
167,9,Timestamp-Dependency,code snippet injection
163,3,Timestamp-Dependency,code snippet injection
111,3,Timestamp-Dependency,code snippet injection
106,4,Timestamp-Dependency,code snippet injection
