loc,length,bug type,approach
221,1,Timestamp-Dependency,code snippet injection
219,1,Timestamp-Dependency,code snippet injection
44,1,Timestamp-Dependency,code snippet injection
51,1,Timestamp-Dependency,code snippet injection
287,1,Timestamp-Dependency,code snippet injection
275,3,Timestamp-Dependency,code snippet injection
263,3,Timestamp-Dependency,code snippet injection
253,5,Timestamp-Dependency,code snippet injection
238,4,Timestamp-Dependency,code snippet injection
225,3,Timestamp-Dependency,code snippet injection
59,5,Timestamp-Dependency,code snippet injection
39,4,Timestamp-Dependency,code snippet injection
29,5,Timestamp-Dependency,code snippet injection
