loc,length,bug type,approach
315,1,Timestamp-Dependency,code snippet injection
309,1,Timestamp-Dependency,code snippet injection
303,1,Timestamp-Dependency,code snippet injection
297,1,Timestamp-Dependency,code snippet injection
240,1,Timestamp-Dependency,code snippet injection
234,3,Timestamp-Dependency,code snippet injection
228,3,Timestamp-Dependency,code snippet injection
220,5,Timestamp-Dependency,code snippet injection
181,4,Timestamp-Dependency,code snippet injection
172,3,Timestamp-Dependency,code snippet injection
164,5,Timestamp-Dependency,code snippet injection
155,4,Timestamp-Dependency,code snippet injection
145,5,Timestamp-Dependency,code snippet injection
135,4,Timestamp-Dependency,code snippet injection
125,3,Timestamp-Dependency,code snippet injection
112,9,Timestamp-Dependency,code snippet injection
105,3,Timestamp-Dependency,code snippet injection
95,5,Timestamp-Dependency,code snippet injection
82,9,Timestamp-Dependency,code snippet injection
74,5,Timestamp-Dependency,code snippet injection
61,9,Timestamp-Dependency,code snippet injection
53,5,Timestamp-Dependency,code snippet injection
30,3,Timestamp-Dependency,code snippet injection
18,9,Timestamp-Dependency,code snippet injection
282,9,Timestamp-Dependency,code snippet injection
277,4,Timestamp-Dependency,code snippet injection
204,9,Timestamp-Dependency,code snippet injection
198,5,Timestamp-Dependency,code snippet injection
188,9,Timestamp-Dependency,code snippet injection
46,3,Timestamp-Dependency,code snippet injection
42,3,Timestamp-Dependency,code snippet injection
37,4,Timestamp-Dependency,code snippet injection
