loc,length,bug type,approach
341,1,Timestamp-Dependency,code snippet injection
334,1,Timestamp-Dependency,code snippet injection
325,1,Timestamp-Dependency,code snippet injection
320,1,Timestamp-Dependency,code snippet injection
313,1,Timestamp-Dependency,code snippet injection
303,3,Timestamp-Dependency,code snippet injection
293,3,Timestamp-Dependency,code snippet injection
266,5,Timestamp-Dependency,code snippet injection
255,4,Timestamp-Dependency,code snippet injection
246,3,Timestamp-Dependency,code snippet injection
223,5,Timestamp-Dependency,code snippet injection
213,4,Timestamp-Dependency,code snippet injection
204,5,Timestamp-Dependency,code snippet injection
196,4,Timestamp-Dependency,code snippet injection
189,3,Timestamp-Dependency,code snippet injection
109,9,Timestamp-Dependency,code snippet injection
102,3,Timestamp-Dependency,code snippet injection
93,5,Timestamp-Dependency,code snippet injection
80,9,Timestamp-Dependency,code snippet injection
179,5,Timestamp-Dependency,code snippet injection
169,9,Timestamp-Dependency,code snippet injection
163,5,Timestamp-Dependency,code snippet injection
159,3,Timestamp-Dependency,code snippet injection
149,9,Timestamp-Dependency,code snippet injection
139,9,Timestamp-Dependency,code snippet injection
133,4,Timestamp-Dependency,code snippet injection
123,9,Timestamp-Dependency,code snippet injection
68,5,Timestamp-Dependency,code snippet injection
58,9,Timestamp-Dependency,code snippet injection
54,3,Timestamp-Dependency,code snippet injection
