loc,length,bug type,approach
378,1,Timestamp-Dependency,code snippet injection
412,1,Timestamp-Dependency,code snippet injection
711,1,Timestamp-Dependency,code snippet injection
694,1,Timestamp-Dependency,code snippet injection
688,1,Timestamp-Dependency,code snippet injection
680,3,Timestamp-Dependency,code snippet injection
672,3,Timestamp-Dependency,code snippet injection
659,5,Timestamp-Dependency,code snippet injection
645,4,Timestamp-Dependency,code snippet injection
627,3,Timestamp-Dependency,code snippet injection
617,5,Timestamp-Dependency,code snippet injection
607,4,Timestamp-Dependency,code snippet injection
596,5,Timestamp-Dependency,code snippet injection
557,4,Timestamp-Dependency,code snippet injection
547,3,Timestamp-Dependency,code snippet injection
531,9,Timestamp-Dependency,code snippet injection
521,3,Timestamp-Dependency,code snippet injection
473,5,Timestamp-Dependency,code snippet injection
454,9,Timestamp-Dependency,code snippet injection
441,5,Timestamp-Dependency,code snippet injection
420,9,Timestamp-Dependency,code snippet injection
399,5,Timestamp-Dependency,code snippet injection
389,3,Timestamp-Dependency,code snippet injection
355,9,Timestamp-Dependency,code snippet injection
333,9,Timestamp-Dependency,code snippet injection
315,4,Timestamp-Dependency,code snippet injection
292,9,Timestamp-Dependency,code snippet injection
272,5,Timestamp-Dependency,code snippet injection
249,9,Timestamp-Dependency,code snippet injection
231,3,Timestamp-Dependency,code snippet injection
213,3,Timestamp-Dependency,code snippet injection
195,4,Timestamp-Dependency,code snippet injection
177,4,Timestamp-Dependency,code snippet injection
163,4,Timestamp-Dependency,code snippet injection
144,9,Timestamp-Dependency,code snippet injection
130,5,Timestamp-Dependency,code snippet injection
580,5,Timestamp-Dependency,code snippet injection
574,3,Timestamp-Dependency,code snippet injection
569,4,Timestamp-Dependency,code snippet injection
505,9,Timestamp-Dependency,code snippet injection
500,4,Timestamp-Dependency,code snippet injection
490,9,Timestamp-Dependency,code snippet injection
373,3,Timestamp-Dependency,code snippet injection
118,4,Timestamp-Dependency,code snippet injection
111,5,Timestamp-Dependency,code snippet injection
