loc,length,bug type,approach
391,1,Timestamp-Dependency,code snippet injection
179,1,Timestamp-Dependency,code snippet injection
175,1,Timestamp-Dependency,code snippet injection
102,1,Timestamp-Dependency,code snippet injection
511,1,Timestamp-Dependency,code snippet injection
488,3,Timestamp-Dependency,code snippet injection
470,3,Timestamp-Dependency,code snippet injection
460,5,Timestamp-Dependency,code snippet injection
451,4,Timestamp-Dependency,code snippet injection
442,3,Timestamp-Dependency,code snippet injection
428,5,Timestamp-Dependency,code snippet injection
416,4,Timestamp-Dependency,code snippet injection
398,5,Timestamp-Dependency,code snippet injection
337,4,Timestamp-Dependency,code snippet injection
315,3,Timestamp-Dependency,code snippet injection
289,9,Timestamp-Dependency,code snippet injection
271,3,Timestamp-Dependency,code snippet injection
249,5,Timestamp-Dependency,code snippet injection
227,9,Timestamp-Dependency,code snippet injection
200,5,Timestamp-Dependency,code snippet injection
107,9,Timestamp-Dependency,code snippet injection
92,5,Timestamp-Dependency,code snippet injection
385,3,Timestamp-Dependency,code snippet injection
371,9,Timestamp-Dependency,code snippet injection
361,9,Timestamp-Dependency,code snippet injection
356,4,Timestamp-Dependency,code snippet injection
163,9,Timestamp-Dependency,code snippet injection
157,5,Timestamp-Dependency,code snippet injection
145,9,Timestamp-Dependency,code snippet injection
141,3,Timestamp-Dependency,code snippet injection
137,3,Timestamp-Dependency,code snippet injection
132,4,Timestamp-Dependency,code snippet injection
127,4,Timestamp-Dependency,code snippet injection
83,4,Timestamp-Dependency,code snippet injection
